Balancing,Model,Accuracy,Precision,Recall,F1-Score
Oversampling,Naive Bayes,0.776,0.862776025236593,0.7997076023391813,0.8300455235204856
Oversampling,SVM,0.801,0.8619402985074627,0.8442982456140351,0.8530280649926145
Oversampling,Logistic Regression,0.8075,0.8737642585551331,0.8399122807017544,0.856503913529631
Oversampling,Random Forest,0.7865,0.7920546244568591,0.9327485380116959,0.8566633098355153
Oversampling,Deep Neural Network,0.7925,0.8353272343420126,0.8676900584795322,0.8512011473646468
Undersampling,Naive Bayes,0.7685,0.8818565400843882,0.7638888888888888,0.81864473168821
Undersampling,SVM,0.788,0.8887973640856672,0.7887426900584795,0.8357862122385747
Undersampling,Logistic Regression,0.7885,0.8869778869778869,0.7916666666666666,0.8366164542294322
Undersampling,Random Forest,0.7535,0.8667225481978206,0.7558479532163743,0.8074970714564623
Undersampling,Deep Neural Network,0.7625,0.8699254349627175,0.7675438596491229,0.8155339805825242
SMOTE,Naive Bayes,0.776,0.8610675039246468,0.8019005847953217,0.8304314912944739
SMOTE,SVM,0.8045,0.8584005869405723,0.8552631578947368,0.8568290003661663
SMOTE,Logistic Regression,0.808,0.8693693693693694,0.8464912280701754,0.8577777777777778
SMOTE,Random Forest,0.7775,0.7843499691928527,0.9305555555555556,0.8512203276496155
SMOTE,Deep Neural Network,0.783,0.833095577746077,0.8538011695906432,0.8433212996389892
